"Name","Start","End","Duration","Process"
"中华人民共和国, 福建省, 连江县, 350500 天气预报 | Microsoft 天气 和另外 1 个页面 - 个人 - Microsoft​ Edge","2022-12-20T20:49:25.0000000","2022-12-20T20:49:30.0000000","0:00:05","Microsoft Edge"
"ManicTime","2022-12-20T20:49:30.0000000","2022-12-20T20:49:35.0000000","0:00:05","ManicTime"
"ManicTime - 标准（免费）","2022-12-20T20:49:35.0000000","2022-12-20T20:50:54.0000000","0:01:19","ManicTime"
"必应 和另外 2 个页面 - 个人 - Microsoft​ Edge","2022-12-20T20:50:54.0000000","2022-12-20T20:50:59.0000000","0:00:05","Microsoft Edge"
"新建标签页 和另外 3 个页面 - 个人 - Microsoft​ Edge","2022-12-20T20:50:59.0000000","2022-12-20T20:51:10.0000000","0:00:11","Microsoft Edge"
"ManicTime 饼状图 - 搜索 和另外 3 个页面 - 个人 - Microsoft​ Edge","2022-12-20T20:51:10.0000000","2022-12-20T20:51:16.0000000","0:00:06","Microsoft Edge"
"ManicTime 饼状图 - 搜索 和另外 4 个页面 - 个人 - Microsoft​ Edge","2022-12-20T20:51:16.0000000","2022-12-20T20:51:33.0000000","0:00:17","Microsoft Edge"
"用python处理excel数据（十）饼图 - 知乎 和另外 5 个页面 - 个人 - Microsoft​ Edge","2022-12-20T20:51:33.0000000","2022-12-20T20:51:38.0000000","0:00:05","Microsoft Edge"
"用python处理excel数据（十）饼图 - 知乎 和另外 4 个页面 - 个人 - Microsoft​ Edge","2022-12-20T20:51:38.0000000","2022-12-20T20:52:14.0000000","0:00:36","Microsoft Edge"
"ManicTime - 标准（免费）","2022-12-20T20:52:14.0000000","2022-12-20T20:52:25.0000000","0:00:11","ManicTime"
"导入和导出","2022-12-20T20:52:25.0000000","2022-12-20T20:52:46.0000000","0:00:21","ManicTime"
"ManicTime - 标准（免费）","2022-12-20T20:52:46.0000000","2022-12-20T20:52:51.0000000","0:00:05","ManicTime"
"选取应用","2022-12-20T20:52:51.0000000","2022-12-20T20:52:59.0000000","0:00:08","选取应用"
"ManicTime - 标准（免费）","2022-12-20T20:52:59.0000000","2022-12-20T20:53:07.0000000","0:00:08","ManicTime"
"ManicTimeData_2022-12-20.csv - Excel","2022-12-20T20:53:07.0000000","2022-12-20T20:53:14.0000000","0:00:07","Microsoft Excel"
"Windows 资源管理器","2022-12-20T20:53:14.0000000","2022-12-20T20:53:35.0000000","0:00:21","Windows 资源管理器"
"ManicTime - 标准（免费）","2022-12-20T20:53:35.0000000","2022-12-20T20:54:05.0000000","0:00:30","ManicTime"
"新建标签页 和另外 5 个页面 - 个人 - Microsoft​ Edge","2022-12-20T20:54:05.0000000","2022-12-20T20:54:13.0000000","0:00:08","Microsoft Edge"
"番茄钟 - 搜索 和另外 5 个页面 - 个人 - Microsoft​ Edge","2022-12-20T20:54:13.0000000","2022-12-20T20:54:23.0000000","0:00:10","Microsoft Edge"
"时钟","2022-12-20T20:54:23.0000000","2022-12-20T20:54:31.0000000","0:00:08","Application Frame Host"
"时钟","2022-12-20T20:54:31.0000000","2022-12-20T20:57:28.0000000","0:02:57","Microsoft Clock"
"通知中心","2022-12-20T20:57:28.0000000","2022-12-20T20:57:36.0000000","0:00:08","Windows Shell Experience Host"
"设置","2022-12-20T20:57:36.0000000","2022-12-20T20:58:01.0000000","0:00:25","设置"
"时钟","2022-12-20T20:58:01.0000000","2022-12-20T20:59:17.0000000","0:01:16","Microsoft Clock"
"Windows 资源管理器","2022-12-20T20:59:17.0000000","2022-12-20T20:59:26.0000000","0:00:09","Windows 资源管理器"
"ManicTime - 标准（免费）","2022-12-20T20:59:26.0000000","2022-12-20T20:59:31.0000000","0:00:05","ManicTime"
"钉钉","2022-12-20T20:59:31.0000000","2022-12-20T20:59:50.0000000","0:00:19","DingTalk"
"张汝琛的练习","2022-12-20T20:59:50.0000000","2022-12-20T20:59:55.0000000","0:00:05","DingTalk"
"时钟","2022-12-20T20:59:55.0000000","2022-12-20T21:00:20.0000000","0:00:25","Microsoft Clock"
"Windows 资源管理器","2022-12-20T21:00:20.0000000","2022-12-20T21:00:25.0000000","0:00:05","Windows 资源管理器"
"时钟","2022-12-20T21:00:25.0000000","2022-12-20T21:00:53.0000000","0:00:28","Microsoft Clock"
"张汝琛的练习","2022-12-20T21:00:53.0000000","2022-12-20T21:01:11.0000000","0:00:18","DingTalk"
"时钟","2022-12-20T21:01:11.0000000","2022-12-20T21:03:50.0000000","0:02:39","Microsoft Clock"
"Windows 资源管理器","2022-12-20T21:03:50.0000000","2022-12-20T21:03:55.0000000","0:00:05","Windows 资源管理器"
"Disk 1 (D:)","2022-12-20T21:03:55.0000000","2022-12-20T21:04:05.0000000","0:00:10","Windows 资源管理器"
"QQ","2022-12-20T21:04:05.0000000","2022-12-20T21:04:10.0000000","0:00:05","腾讯QQ"
"tree_one_等51个会话","2022-12-20T21:04:10.0000000","2022-12-20T21:04:15.0000000","0:00:05","腾讯QQ"
"tree_one_等70个会话","2022-12-20T21:04:15.0000000","2022-12-20T21:04:33.0000000","0:00:18","腾讯QQ"
"任务切换","2022-12-20T21:04:33.0000000","2022-12-20T21:04:38.0000000","0:00:05","Windows 资源管理器"
"时钟","2022-12-20T21:04:38.0000000","2022-12-20T21:05:58.0000000","0:01:20","Microsoft Clock"
"钉钉","2022-12-20T21:05:58.0000000","2022-12-20T21:06:03.0000000","0:00:05","DingTalk"
"时钟","2022-12-20T21:06:03.0000000","2022-12-20T21:11:28.0000000","0:05:25","Microsoft Clock"
"ManicTime - 标准（免费）","2022-12-20T21:11:28.0000000","2022-12-20T21:11:48.0000000","0:00:20","ManicTime"
"时钟","2022-12-20T21:11:48.0000000","2022-12-20T21:12:17.0000000","0:00:29","Microsoft Clock"
"钉钉","2022-12-20T21:12:17.0000000","2022-12-20T21:16:50.0000000","0:04:33","DingTalk"
"ManicTime - 标准（免费）","2022-12-20T21:16:50.0000000","2022-12-20T21:16:58.0000000","0:00:08","ManicTime"
"任务切换","2022-12-20T21:16:58.0000000","2022-12-20T21:17:03.0000000","0:00:05","Windows 资源管理器"
"钉钉","2022-12-20T21:17:03.0000000","2022-12-20T21:17:08.0000000","0:00:05","DingTalk"
